id,words,gloss,class,subclass,,,,,,,,,,,,,,,
17390,washingtonian#3,of or relating to the capital of the United States; Washingtonian museums,0,,,,,,,,,,,,,,,,
11460,suggestive#2 significative#1 revelatory#1 indicatory#1 indicative#2,(usually followed by `of') pointing out or revealing clearly; actions indicative of fear,1,NA,,,,,,,,,,,,,,,
1133,ferny#1 ferned#1,abounding in or covered with ferns; the ferny undergrowth,0,,,,,,,,,,,,,,,,
14986,cancroid#1,of or relating to a cancroid,0,,,,,,,,,,,,,,,,
2873,inefficient#2 ineffective#3,lacking the ability or skill to perform effectively; inadequate; an ineffective administration; inefficient workers,1,reasoning,,,,,,,,,,,,,,,
10071,plowed#1 ploughed#1,(of farmland) broken and turned over with a plow; plowed fields,0,,,,,,,,,,,,,,,,
558,emmetropic#1,of or relating to the normal condition of the eye in which visual images are in clear focus on the retina,0,,,,,,,,,,,,,,,,
1512,autofluorescent#1,emitting light via self-induced fluorescence,0,,,,,,,,,,,,,,,,
10665,patrician#1,befitting a person of noble origin; a patrician nose,1,personality,,,,,,,,,,,,,,,
9627,imperishable#1,not perishable,0,,,,,,,,,,,,,,,,
6506,weighted#1 leaden#2,made heavy or weighted down with weariness; his leaden arms; weighted eyelids,1,perceiving,,,,,,,,,,,,,,,
6766,rearing#1 rampant#2,rearing on left hind leg with forelegs elevated and head usually in profile; a lion rampant,0,,,,,,,,,,,,,,,,
9859,churrigueresque#1 churrigueresco#1 baroque#1,having elaborate symmetrical ornamentation; the building...frantically baroque-William Dean Howells,0,,,,,,,,,,,,,,,,
17291,etymological#1,based on or belonging to etymology; I merely drew an etymological distinction,0,,,,,,,,,,,,,,,,
6478,acephalous#1,lacking a head or a clearly defined head; acephalous worms,0,,,,,,,,,,,,,,,,
6530,thoughtful#4 paying_attention#1 heedful#1 attentive#2,taking heed; giving close and thoughtful attention; heedful of the warnings; so heedful a writer; heedful of what they were doing,1,perceiving,,,,,,,,,,,,,,,
3236,invisible#2 inconspicuous#1,not prominent or readily noticeable; he pushed the string through an inconspicuous hole; the invisible man,1,perceiving,,,,,,,,,,,,,,,
1579,subdued#4 soft#19,not brilliant or glaring; the moon cast soft shadows; soft pastel colors; subdued lighting,0,,,,,,,,,,,,,,,,
12979,outstanding#1,distinguished from others in excellence; did outstanding work in human relations; an outstanding war record,1,reasoning,,,,,,,,,,,,,,,
7737,unlined#1,not having a lining or liner; a thin unlined jacket,0,,,,,,,,,,,,,,,,
125,basic#4,of or denoting or of the nature of or containing a base,1,reasoning,,,,,,,,,,,,,,,
14430,flowering#1,having a flower or bloom; a flowering plant,0,,,,,,,,,,,,,,,,
16616,spectrometric#1,of or relating to or involving spectrometry,0,,,,,,,,,,,,,,,,
6875,heated#2,marked by emotional heat; vehement; a heated argument,1,perceiving,,,,,,,,,,,,,,,
3871,noncompliant#1 defiant#1,boldly resisting authority or an opposing force; brought up to be aggressive and defiant; a defiant attitude,1,planning,,,,,,,,,,,,,,,
9749,punctureless#1,being without punctures or incapable of being punctured,0,,,,,,,,,,,,,,,,
16580,spiritualistic#1 spiritualist#1,of or relating to or connected with spiritualism,1,reasoning,,,,,,,,,,,,,,,
273,bondable#2,capable of holding together or cohering; as particles in a mass,0,,,,,,,,,,,,,,,,
9986,positive#1,characterized by or displaying affirmation or acceptance or certainty etc.; a positive attitude; the reviews were all positive; a positive benefit; a positive demand,1,reasoning,,,,,,,,,,,,,,,
15324,femoral#1,of or relating to or near the femur or thigh,0,,,,,,,,,,,,,,,,
2673,ignescent#1,can emit sparks or burst into flame,0,,,,,,,,,,,,,,,,
17312,andean#1,relating to the Andes and their inhabitants,0,,,,,,,,,,,,,,,,
17242,operational#1,pertaining to a process or series of actions for achieving a result; operational difficulties; they assumed their operational positions,1,reasoning,,,,,,,,,,,,,,,
6868,late-flowering#1 late-blooming#1 fall-flowering#1 fall-blooming#1 autumn-flowering#1 autumn-blooming#1,of plants that bloom during the autumn,0,,,,,,,,,,,,,,,,
14910,black-and-white#1,lacking hue or shades of grey; part white and part black; a black-and-white cow; black-and-white blooms; black-and-white stripes,0,,,,,,,,,,,,,,,,
5950,cram_full#1 chuck-full#1 choke-full#1 chockful#1 chockablock#1 chock-full#1,packed full to capacity; chowder chockablock with pieces of fish,0,,,,,,,,,,,,,,,,
5760,stinking#2 smelly#1 noisome#2 ill-scented#1 funky#1 foul-smelling#1 foul#2 foetid#1 fetid#1,offensively malodorous; a foul odor; the kitchen smelled really funky,0,,,,,,,,,,,,,,,,
1955,paraphrastic#1,altered by paraphrasing,0,,,,,,,,,,,,,,,,
5668,exotic#1 alien#2,being or from or characteristic of another place or part of the world; alien customs; exotic plants in a greenhouse; exotic cuisine,0,,,,,,,,,,,,,,,,
13806,clawed#1,having or resembling a claw or claws; often used as a combining form; sharp-clawed,0,,,,,,,,,,,,,,,,
13027,suspended#1,(of undissolved particles in a fluid) supported or kept from sinking or falling by buoyancy and without apparent attachment; suspended matter such as silt or mud...; dust particles suspended in the air; droplets in suspension in a gas,0,,,,,,,,,,,,,,,,
14136,waterlogged#1 swampy#1 squashy#2 soggy#1 sloughy#1 sloppy#3 quaggy#1 muddy#1 mucky#1 miry#1 marshy#1 boggy#1,(of soil) soft and watery; the ground was boggy under foot; a marshy coastline; miry roads; wet mucky lowland; muddy barnyard; quaggy terrain; the sloughy edge of the pond; swampy bayous,0,,,,,,,,,,,,,,,,
17285,cubistic#1 cubist#1,relating to or characteristic of cubism; cubist art,1,perceiving,,,,,,,,,,,,,,,
4976,expansive#3,marked by exaggerated feelings of euphoria and delusions of grandeur,1,perceiving,,,,,,,,,,,,,,,
4826,accumulated#1 accrued#1,periodically accumulated over time; accrued interest; accrued leave,0,,,,,,,,,,,,,,,,
13326,wired#2 pumped_up#1 pumped-up#1 pumped#1,tense with excitement and enthusiasm as from a rush of adrenaline; we were really pumped up for the race; he was so pumped he couldn't sleep,1,emotion,,,,,,,,,,,,,,,
1353,white#2,of or belonging to a racial group having light skin coloration; voting patterns within the white population,0,,,,,,,,,,,,,,,,
6173,unspeakable#2 terrible#2 painful#3 dreadful#2 awful#1 atrocious#2 abominable#2,exceptionally bad or displeasing; atrocious taste; abominable workmanship; an awful voice; dreadful manners; a painful performance; terrible handwriting; an unspeakable odor came sweeping into the room,1,perceiving,,,,,,,,,,,,,,,
11497,insidious#1,beguiling but harmful; insidious pleasures,1,perceiving,,,,,,,,,,,,,,,
10604,visualized#1 visualised#1 pictured#1 envisioned#1,seen in the mind as a mental image; the glory of his envisioned future; the snow-covered Alps pictured in her imagination; the visualized scene lacked the ugly details of real life,1,perceiving,,,,,,,,,,,,,,,
8764,northwestern#1 northwesterly#2 northwest#1,situated in or oriented toward the northwest,0,,,,,,,,,,,,,,,,
16639,roman#3,characteristic of the modern type that most directly represents the type used in ancient Roman inscriptions,0,,,,,,,,,,,,,,,,
1828,porous#2 poriferous#1,full of pores or vessels or holes,0,,,,,,,,,,,,,,,,
4553,muscular#2 mesomorphic#1,having a robust muscular body-build characterized by predominance of structures (bone and muscle and connective tissue) developed from the embryonic mesodermal layer,0,,,,,,,,,,,,,,,,
8200,unseasoned#1,not aged or processed; unseasoned timber,0,,,,,,,,,,,,,,,,
4702,soulful#1,full of or expressing deep emotion; soulful eyes; soulful music,1,perceiving,,,,,,,,,,,,,,,
3088,consensual#1,existing by consent; a consensual contract,1,reasoning,,,,,,,,,,,,,,,
3134,coincident#2,matching point for point; coincident circles,1,reasoning,,,,,,,,,,,,,,,
8511,scrofulous#2,morally contaminated; denounce the scrofulous wealth of the times- J.D.Hart,1,perceiving,,,,,,,,,,,,,,,
16086,expressionistic#1 expressionist#1,of or relating to expressionism; expressionist art,0,,,,,,,,,,,,,,,,
11339,said#1 aforesaid#1 aforementioned#1,being the one previously mentioned or spoken of; works of all the aforementioned authors; said party has denied the charges,1,reasoning,,,,,,,,,,,,,,,
11483,tight#9,securely or solidly fixed in place; rigid; the bolts are tight,0,,,,,,,,,,,,,,,,
12770,stimulating#1,rousing or quickening activity or the senses; a stimulating discussion,1,perceiving,,,,,,,,,,,,,,,
9834,tiger-striped#1,having stripes resembling those of a tiger,0,,,,,,,,,,,,,,,,
8472,synoicous#1 synoecious#1,having male and female reproductive organs mixed in the same gametoecium,0,,,,,,,,,,,,,,,,
3280,shakeable#1 shakable#1,capable of being weakened; the crisis proved his confidence was shakable,1,reasoning,,,,,,,,,,,,,,,
7860,bimestrial#2,two months long; lasting two months,0,,,,,,,,,,,,,,,,
16810,interlobular#1,between lobes or lobules,0,,,,,,,,,,,,,,,,
7600,small-scale#1,created or drawn on a small scale; small-scale maps; a small-scale model,0,,,,,,,,,,,,,,,,
2855,harmonious#4,existing together in harmony; harmonious family relationships,1,perceiving,,,,,,,,,,,,,,,
6054,in_gear#1,having gears engaged; the car is in gear,0,,,,,,,,,,,,,,,,
16217,biblical#2,in keeping with the nature of the Bible or its times or people; biblical styles in writing; a beard of biblical proportions; biblical costumes,0,,,,,,,,,,,,,,,,
8253,memberless#1,of a group or set having no members,1,reasoning,,,,,,,,,,,,,,,
15,abridged#1,(used of texts) shortened by condensing or rewriting; an abridged version,0,,,,,,,,,,,,,,,,
17864,sacrificial#1,used in or connected with a sacrifice; sacrificial lamb,1,reasoning,,,,,,,,,,,,,,,
3613,critical#6,being in or verging on a state of crisis or emergency; a critical shortage of food; a critical illness; an illness at the critical stage,1,reasoning,,,,,,,,,,,,,,,
15692,pharaonic#1,of or relating to the ancient Egyptian kings,0,,,,,,,,,,,,,,,,
15174,cross-ply#1,of or relating to an older kind of automobile tire that had a flexible tread and relatively stiff sidewalls,0,,,,,,,,,,,,,,,,
18088,zero#4,of or relating to the null set (a set with no members),1,reasoning,,,,,,,,,,,,,,,
14676,apian#1,relating to or having the characteristics of bees,0,,,,,,,,,,,,,,,,
6466,indigestible#1,digested with difficulty,1,perceiving,,,,,,,,,,,,,,,
1692,uncamphorated#1,not containing camphor,0,,,,,,,,,,,,,,,,
16451,protozoic#1 protozoan#1 protozoal#1,of or relating to the Protozoa,0,,,,,,,,,,,,,,,,
2533,faraway#2,far removed mentally; a faraway (or distant) look in her eyes,1,perceiving,,,,,,,,,,,,,,,
1297,round-faced#1 moon-faced#1,having a round face,0,,,,,,,,,,,,,,,,
13379,viscous#1 syrupy#2,having a relatively high resistance to flow,0,,,,,,,,,,,,,,,,
15803,scapulohumeral#1,relating to the shoulder blade and upper arm bone,0,,,,,,,,,,,,,,,,
10320,out-of-the-way#2,improper or even offensive; out-of-the-way remarks,1,perceiving,,,,,,,,,,,,,,,
1205,pretty#1,pleasing by delicacy or grace; not imposing; pretty girl; pretty song; pretty room,1,perceiving,,,,,,,,,,,,,,,
9391,traumatic#2,psychologically painful;few experiences are more traumatic than losing a child;,1,perceiving,,,,,,,,,,,,,,,
2035,beige#1,of a light greyish-brown color,0,,,,,,,,,,,,,,,,
6945,identifiable#1,capable of being identified,1,perceiving,,,,,,,,,,,,,,,
4244,retrograde#1,moving from east to west on the celestial sphere; or--for planets--around the sun in a direction opposite to that of the Earth,0,,,,,,,,,,,,,,,,
11177,light-boned#1,having a bone structure that is light with respect to the surrounding flesh,0,,,,,,,,,,,,,,,,
15027,cataplastic#1,of or relating to cataplasia,0,,,,,,,,,,,,,,,,
10112,moronic#1,having a mental age of between eight and twelve years,0,,,,,,,,,,,,,,,,
13684,true#5,conforming to definitive criteria; the horseshoe crab is not a true crab; Pythagoras was the first true mathematician,1,reasoning,,,,,,,,,,,,,,,
8332,military#2,characteristic of or associated with soldiers or the military; military uniforms,0,,,,,,,,,,,,,,,,
9371,square#4,leaving no balance; my account with you is now all square,0,,,,,,,,,,,,,,,,
12813,wry#2,bent to one side; a wry neck,0,,,,,,,,,,,,,,,,