id,words,gloss,class,subclass,comment
108919,sough#1 purl#2,make a murmuring sound; the water was purling,0,,
104258,dung#2,defecate; used of animals,0,,
105298,ray#3 irradiate#3,expose to radiation; irradiate food,0,,
114503,get_a_whiff#1 get_a_noseful#1,smell strongly and intensely,0,,
116511,master#3 dominate#3,have dominance or the power to defeat over; Her pain completely mastered her; The methods can master the problems,1,self-actualization,potential
106780,vivify#2,make more striking or animated; his remarks always vivify an otherwise dull story,1,aesthetic,beauty
113451,buzz#2,fly low; Planes buzzed the crowds in the square,0,,
114498,wind#4 scent#2 nose#3,catch the scent of; get wind of; The dog nosed out the drugs,0,,
108112,throw_out#4 advance#2,bring forward for consideration or acceptance; advance an argument,1,reason_plan,
110688,atomize#1 atomise#1,spray very finely; atomize perfume,0,,
115147,dicker#1 bargain#1,negotiate the terms of an exchange; We bargained for a beautiful rug in the bazaar,1,reason_plan,
117051,go#5,be awarded; be allotted; The first prize goes to Mary; Her money went on clothes,0,,
109784,finger#2 feel#9,examine by touch; Feel this soft cloth!; The customer fingered the sweater,0,,
106408,reverberate#6,"treat, process, heat, melt, or refine in a reverberatory furnace; reverberate ore",0,,
112044,fantasy#1 fantasize#1 fantasise#1,indulge in fantasies; he is fantasizing when he says he plans to start his own company,1,self-actualization,potential
114398,strike#16 hit#12,drive something violently into a location; he hit his fist on the table; she struck her head on the low ceiling,0,,
109883,riddle#4 pervade#1 permeate#1 penetrate#7 interpenetrate#2 imbue#1 diffuse#2,spread or diffuse through; An atmosphere of distrust has permeated this administration; music penetrated the entire building; His campaign was riddled with accusations and personal attacks,0,,
109946,brush#2,touch lightly and briefly; He brushed the wall lightly,0,,
104343,lame#1 cripple#2,"deprive of the use of a limb, especially a leg; The accident has crippled her for life",0,,
111080,squeeze#2,press firmly; He squeezed my hand,0,,
116125,take_back#3,"resume a relationship with someone after an interruption, as in a wife taking back her husband",1,love_belonging,
110852,whang#2,propel or hit with force; whang the ball,0,,
112010,develop#13,generate gradually; We must develop more potential customers; develop a market for the new mobile phone,1,reason_plan,
107641,bring_round#1 bring_around#1,cause to adopt an opinion or course of action; His urgent letter finally brought me around to give money to the school,1,reason_plan,
112700,impress#2,impress positively; The young chess player impressed her audience,1,self-actualization,potential
116864,vegetate#1,lead a passive existence without using one's body or mind,1,self-actualization,potential
104103,prank#2,dress up showily; He pranked himself out in his best clothes,0,,
105503,peptize#1 peptise#1,disperse in a medium into a colloidal state,0,,
113118,cut_to#1,move to another scene when filming; The camera cut to the sky,0,,
106372,ink#2,"mark, coat, cover, or stain with ink; he inked his finger",0,,
104265,play#35,exhaust by allowing to pull on the line; play a hooked fish,0,,
109373,turn_back#4 stop#7 hold_back#1 contain#6 check#18 arrest#2,"hold back, as of a danger or an enemy; check the expansion or influence of; Arrest the downward trend; Check the growth of communism in South East Asia; Contain the rebel movement; Turn back the tide of communism",1,safety,
109454,hunt#7,search (an area) for prey; The King used to hunt these forests,0,,
113558,skyrocket#1 rocket#1,"shoot up abruptly, like a rocket; prices skyrocketed",0,,
116790,play#17,behave in a certain way; play safe; play it safe; play fair,0,,
112652,carve_out#1,establish or create through painstaking effort; She carved out a reputation among her male colleagues,1,self-actualization,potential
106481,dawn#3,"become light; It started to dawn, and we had to get up",0,,
116794,make#25,form by assembling individuals or constituents; Make a quorum,0,,
107681,fall_out#1,have a breach in relations; We fell out over a trivial question,1,love_belonging,
110416,chine#1,cut through the backbone of an animal,0,,
117441,pay#7,be worth it; It pays to go through the trouble,1,self-actualization,potential
109020,pooh-pooh#1,express contempt about,1,self-actualization,morality
116083,regiment#2,form (military personnel) into a regiment,0,,
117155,emulate#1,"strive to equal or match, especially by imitating; He is emulating the skating skills of his older sister",0,,
116110,poll#3,get the votes of,0,,
106168,re-incorporate#1,incorporate again or anew,1,self-actualization,creativity
112143,cooper#1,make barrels and casks,0,,
104255,suction#2,empty or clean (a body cavity) by the force of suction; suction the uterus in an abortion,0,,
108350,wonder#2 question#5,place in doubt or express doubtful speculation; I wonder whether this was the right thing to do; she wondered whether it would snow tonight,1,cognitive,cognition
109689,wallow#5,delight greatly in; wallow in your success!,1,emotion,
107651,rope_in#2,draw in as if with a rope; lure; The agent had roped in several customers,1,,
106892,drill#2,"train in the military, e.g., in the use of weapons",0,,
113378,upset#4 turn_over#2 tump_over#1 tip_over#1 overturn#2 knock_over#1 bowl_over#1,cause to overturn from an upright or normal position; The cat knocked over the flower vase; the clumsy customer turned over the vase; he tumped over his beer,0,,
115622,corbel#1,furnish with a corbel,0,,
111393,unlock#2,set free or release,0,,
113051,tour#1,make a tour of a certain place; We toured the Provence this summer,0,,
113434,tramp#1,"travel on foot, especially on a walking expedition; We went tramping about the state of Colorado",0,,
104774,intersperse#2 interlard#1,introduce one's writing or speech with certain expressions,0,,
115122,clean_up#3,dispose of; settle the bills,0,,
106504,sentimentalize#1 sentimentalise#2,look at with sentimentality or turn into an object of sentiment; Don't sentimentalize the past events,1,emotion,
108774,plead#4,"make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts",1,reason_plan,
109094,draw#14 cast#9,choose at random; draw a card; cast lots,0,,
109874,permeate#3 interpenetrate#1,penetrate mutually or be interlocked; The territories of two married people interpenetrate a lot,0,,
104617,pile_up#1 gather#3 cumulate#1 conglomerate#1 amass#1 accumulate#2,collect or gather; Journals are accumulating in my office; The work keeps piling up,0,,
115460,thieve#1 snitch#1 knock_off#3 hook#5 glom#1 cop#1,take by theft; Someone snitched my wallet!,1,safety,
116612,follow#19,adhere to or practice; These people still follow the laws of their ancient religion,1,esteem,
110135,tar-and-feather#1,smear the body of (someone) with tar and feathers; done in some societies as punishment; The thief was tarred and feathered,0,,
112705,touch#3 stir#5,affect emotionally; A stirring movie; I was touched by your kind letter of sympathy,1,love_belonging,
109875,invade#4,"penetrate or assault, in a harmful or injurious way; The cancer had invaded her lungs",1,safety,
110961,chink#2,"fill the chinks of, as with caulking",0,,
111541,blot#1,dry (ink) with blotting paper,0,,
114297,stampede#1,cause to run in panic; Thunderbolts can stampede animals,1,safety,
104927,dry_out#3 dry#1,remove the moisture from and make dry; dry clothes; dry hair,0,,
109038,beam#3,express with a beaming face or smile; he beamed his approval,1,emotion,
116585,feed#5,support or promote; His admiration fed her vanity,1,love_belonging,
114622,rubberneck#1,strain to watch; stare curiously; The cars slowed down and the drivers rubbernecked after the accident,0,,
103897,hyperventilate#1,produce hyperventilation in; The nurses had to hyperventilate the patient,0,,
109862,turn#22,alter the functioning or setting of; turn the dial to 10; turn the heat down,1,reason_plan,
113281,skip#5 bound_off#1,bound off one point after another,0,,
107338,cogitate#1,consider carefully and deeply; reflect upon; turn over in one's mind,1,reason_plan,
116543,rubricate#1,place in the church calendar as a red-letter day honoring a saint; She was rubricated by the pope,0,,
116908,uprise#1 spring_up#1 rise#6 originate#1 grow#6 develop#5 arise#1,come into existence; take on form or shape; A new religious movement originated in that country; a love that sprang up from friendship; the idea for the book grew out of a short story; An interesting phenomenon uprose,1,reason_plan,
115818,crown#1 coronate#1,invest with regal power; enthrone; The prince was crowned in Westminster Abbey,0,,
113089,suction#1,remove or draw away by the force of suction; the doctors had to suction the water from the patient's lungs,0,,
107164,prove_oneself#1,show one's ability or courage,1,self-actualization,potential
104556,form#7,assume a form or shape; the water formed little beads,0,,
114348,singsong#2,move as if accompanied by a singsong; The porters singsonged the travellers' luggage up the mountain,0,,
109343,teargas#1,attack with teargas; subject to teargas fumes; The students were teargassed during the riot,0,,
105457,toast#1 crispen#1 crisp#2,make brown and crisp by heating; toast bread; crisp potatoes,0,,
114360,jackrabbit#1,"go forward or start with a fast, sudden movement",0,,
103947,toy#3 play#16,engage in an activity as if it were a game rather than take it seriously; They played games on their opponents; play the stock market; play with her feelings; toy with an idea,1,self-actualization,leisure
113743,set_down#5 disembark#1 debark#1,go ashore; The passengers disembarked at Southampton,0,,
113408,cut#15,pass directly and often in haste; We cut through the neighbor's yard to get home sooner,0,,
116838,terminate#2 stop#9 finish#3 end#1 cease#2,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical; the bronchioles terminate in a capillary bed; Your rights stop where you infringe upon the rights of other; My property ends by the bushes; The symphony ends in a pianissimo",1,reason_plan,
106716,ebb#3,fall away or decline; The patient's strength ebbed away,1,reason_plan,
110045,hash#1,chop up; hash the potatoes,0,,
104230,distill#5 distil#4,give off (a liquid); The doctor distilled a few drops of disinfectant onto the wound,0,,
116582,promote#1 further#2 encourage#1 boost#3 advance#4,contribute to the progress or growth of; I am promoting the use of computers in the classroom,1,reason_plan,
113593,bus#1,send or move around by bus; The children were bussed to school,0,,
106943,walk_out#3,"leave suddenly, often as an expression of disapproval; She walked out on her husband and children",1,love_belonging,