,id,text,target
0,113485,travel or be transported in a vehicle; We drove to the university every morning; They motored to London for the theater,0
1,109368,protect through supernatural powers or charms,1
2,116199,enter on a public list,1
3,115314,formally hand over to the bridegroom in marriage; of a bride by her father,0
4,108846,send by rapid transport or special messenger service; She expressed the letter to Florida,0
5,111043,seize on its way; The fighter plane was ordered to intercept an aircraft that had entered the country's airspace,0
6,112354,write about a particular topic; Snow wrote about China,1
7,106743,remove (an unknown variable) from two or more equations,1
8,104566,fall or sink into a state of exhaustion or death; shop til you drop,0
9,114530,look at with fixed eyes; The students stared at the teacher with amazement,0
10,113996,cause to crowd together too much; The students overcrowded the cafeteria,0
11,104567,diminish in size or intensity,0
12,114523,"observe, check out, and look over carefully or inspect; The customs agent examined the baggage; I must see your passport before you can enter the country",1
13,109757,satisfy (thirst); The cold water quenched his thirst,1
14,106701,"make sexual, endow with sex, attribute sex to; The god was sexualized and married to another god; Some languages sexualize all nouns and do not have a neuter gender",1
15,108850,communicate electronically on the computer; she e-mailed me the good news,0
16,113426,"walk fast, with regular or measured steps; walk with a stride; He marched into the classroom and announced the exam; The soldiers marched across the border",0
17,113048,"sail or travel about for pleasure, relaxation, or sightseeing; We were cruising in the Caribbean",1
18,116951,contain as a part; Dinner at Joe's always involves at least six courses,1
19,117078,be the right size or shape; fit correctly or as desired; This piece won't fit into the puzzle,1
20,112789,"cause annoyance in; disturb, especially by minor irritations; Mosquitoes buzzing in my ear really bothers me; It irritates me that she never closes the door after she leaves",1
21,109442,hunting: search for game; drive the forest,1
22,108911,indicate contempt by breathing noisily and forcefully through the nose; she snorted her disapproval of the proposed bridegroom,1
23,107065,calculate the integral of; calculate by integration,1
24,115897,work as a driver; He drives a bread truck; She drives for the taxi company in Newark,1
25,105175,cause to be paralyzed and immobile; The poison paralyzed him; Fear paralyzed her,1
26,117380,"come after in time, as a result; A terrible tsunami followed the earthquake",0
27,116431,check or regulate (a scientific experiment) by conducting a parallel experiment or comparing with another standard; Are you controlling for the temperature?,1
28,111346,place side by side; The fauvists juxtaposed strong colors,0
29,108001,make a parody of; The students spoofed the teachers,1
30,114597,hide aboard a ship or a plane to get free transportation; The illegal immigrants stowed away on board the freighter,1
31,104045,look at with a fixed gaze; The girl glared at the man who tried to make a pass at her,0
32,116849,have a strong tendency to occur side by side; The words 'new' and 'world' collocate,0
33,105796,check; keep in check (a fire),1
34,111299,become joined or linked together,0
35,105753,convert from a non-metric to the metric system,1
36,108708,register the trademark of; The company trademarked their new gadget,1
37,107521,speak in riddles,0
38,113896,leave quickly,0
39,108840,assign a name or title to,0
40,107700,take a break for five minutes; The musicians took five during the rehearsal,0
41,106998,say out loud for the purpose of recording; He dictated a report to his secretary,0
42,111035,deliver to the wrong address,0
43,110886,hit a single; the batter singled to left field,0
44,108731,write down quickly without much attention to detail,0
45,117378,be a part or adjunct; the uniform looks like it belonged to a museum collection; These pages don't belong,1
46,105808,become sharp or sharper; The debate sharpened,0
0,13162,(of characters in literature or drama) evoking empathic or sympathetic feelings; the sympathetic characters in the play,1
1,109007,utter `hem' or `ahem',0
2,8983,conspicuously new; shiny brand-new shoes; a spick-and-span novelty,0
3,109004,pass on a communication; The news was carried to every village in the province,0
4,17071,of or relating to a mediator or the duties of a mediator,1
5,107074,determine or distinguish the nature of a problem or an illness through a diagnostic analysis,1
6,16849,of or pertaining to or characteristic of the Baptist church; Baptistis baptismal practices,0
7,16912,of or involving exponents; exponential growth,1
8,2737,(of military officers) appointed from enlisted personnel,1
9,104149,introduce semen into (a female),0
10,494,incapable of being transferred,0
11,15820,relating to a disease that tends to run a definite course without treatment,0
12,116729,"control by magic spells, as by practicing witchcraft",1
13,115189,"spend less than the whole of (a budget, for example)",1
14,4556,"fit to kill, especially for food",1
15,107494,break down into components or essential features; analyze today's financial market,1
16,5075,"depleted of energy, force, or strength; impossible to grow tobacco on the exhausted soil; the exhausted food sources; exhausted oil wells",0
17,16455,of or relating to or employed in social rites or rituals; a ritual dance of Haiti; sedate little colonial tribe with its ritual tea parties- Nadine Gordimer,1
18,7305,making worse,1
19,16418,not relating to words; nonlexical morphemes,1
20,104104,dress up in a cheap and provocative way,0
21,2306,brightly colored and showy; girls decked out in brave new dresses; brave banners flying; `braw' is a Scottish word; a dress a bit too gay for her years; birds with gay plumage,0
22,11535,caused by or in response to pain; a nociceptive spinal reflex,0
23,7654,recently stolen or smuggled; hot merchandise; a hot car,1
24,10698,not subjected to chemical or physical treatment; an untreated fabric,0
25,12140,coming next after the first in position in space or time or degree or magnitude,1
26,17055,of or pertaining to or marked by genetic mutation,0
27,109928,"strike with the flat of the hand; usually in a friendly way, as in encouragement or greeting",0
28,13617,burdened by cares; all ye that labor and are heavy-laden-Matt.11:28,1
29,8093,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop; a female heir; female holly trees bear the berries,0
30,6441,having sore eyes; suffering from pinkeye or conjunctivitis,0
31,107719,entice through the use of music,1
32,117328,be adjacent or come together; The lines converge at this point,0
33,14877,relating to or dealing with bibliography,0
34,4368,(of genes) producing the same phenotype whether its allele is identical or dissimilar,0
35,2790,able to communicate in Flemish,0
36,115889,take the place of; gloom had usurped mirth at the party after the news of the terrorist act broke,1
37,4268,able to make or detect effects of great subtlety; sensitive; discerning taste; a discerning eye for color,1
38,6823,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning; hot stove; hot water; a hot August day; a hot stuffy room; she's hot and tired; a hot forehead,0
39,10740,set up or distributed in a deliberately random way,0
40,11274,concerned with religion or religious purposes; sacred texts; sacred rites; sacred music,1
41,107367,plan something for a specific role or purpose or effect; This room is not designed for work,1
42,116283,perform a marriage ceremony; The minister married us on Saturday; We were wed the following week; The couple got spliced on Hawaii,1
43,109637,arrange for sexual partners for others,1
44,106287,make impure; The industrial wastes polluted the lake,1
45,106016,"melt, break, or become otherwise unusable; The lightbulbs blew out; The fuse blew",0
46,106790,give better travel conditions to; The airline upgraded me when I arrived late and Coach Class was full,1
47,108512,provide (movies) with a soundtrack of a foreign language,0
48,109715,practice teetotalism and abstain from the consumption of alcoholic beverages,0
49,104156,undergo cross-fertilization; become fertile,0
50,114846,sweeten with honey,0
51,105563,be found or available; These shoes come in three colors; The furniture comes unassembled,1
52,109148,retire from military service,1
53,104491,"vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)",0
54,110026,wear away,0
55,111216,restrain from moving or operating normally; Traffic is tied up for miles around the bridge where the accident occurred,0
56,109965,"pat or squeeze fondly or playfully, especially under the chin",0
57,112782,make furious,1
58,115270,buy stocks or shares of a company,1
59,115543,provide (a workshop or factory) with new tools,1
60,117274,be capable of holding or containing; This box won't take all the items; The flask holds one gallon,0
61,114105,to wind or move in a spiral course; the muscles and nerves of his fine drawn body were coiling for action; black smoke coiling up into the sky; the young people gyrated on the dance floor,0
62,115401,put into a bank account; She deposits her paycheck every month,1
63,116284,perform (the wedding ceremony) with proper ceremonies,1
64,113381,startle with amazement or fear,1
65,113977,meet formally; The council convened last week,1
66,105485,let sit in a liquid to extract a flavor or to cleanse; steep the blossoms in oil; steep the fruit in alcohol,0
67,106947,omit (a letter or syllable) in speaking or writing;  New Englanders drop their post-vocalic r's,0
68,104676,modernize or bring up to date; We updated the kitchen in the old house,1
69,110768,squeeze or press together; she compressed her lips; the spasm contracted the muscle,0
70,114556,disclose to view as by removing a cover; The curtain rose to disclose a stunning set,0
71,104098,"care for one's feet by cutting and shaping the nails, etc.",0
72,108167,give to in marriage,1
73,109629,feed excessively,0
74,112499,perform without preparation; he extemporized a speech at the wedding,1
75,112308,"write, draw, or trace with chalk",0
76,112146,"form into a shape resembling the final, desired one",1
77,109173,commence hostilities,1
78,104349,"recover quickly; After the surgery, the patient snapped back in a few days",1
79,110318,secure a vessel with an anchor; We anchored at Baltimore,0
80,113917,transfer for further transportation from one ship or conveyance to another,0
81,113065,fly a kite; Kids were kiting in the park; They kited the Red Dragon model,0
82,109597,eat up; usually refers to a considerable quantity of food; My son tucked in a whole pizza,0
83,113640,"go at a canter, of horses",0
84,104243,cause bodily suffering to and make sick or indisposed,1
85,107645,talk to someone with the aim of persuading him,1
86,109665,take care of an infant without breastfeeding it,1
87,3363,characterized by or in accordance with some formula,1
88,11854,abnormal ability to focus of distant objects,0
89,113344,move about in a confused manner,0
90,993,less in demand and therefore readily obtainable; commodities are easy this quarter,1
91,117655,get foggy; The windshield fogged up,0
92,10114,not as far along as normal in development,1
93,115770,withdraw from active participation; He retired from chess,1
94,112489,"play or sound together, in harmony",0
95,8666,not necessary,1
96,597,characterized by inflections indicating a semantic relation between a word and its base; the morphological relation between `sing' and `singer' and `song' is derivational,1
97,116932,do away with,1
98,6104,very generous; distributed gifts with a lavish hand; the critics were lavish in their praise; a munificent gift; his father gave him a half-dollar and his mother a quarter and he thought them munificent; prodigal praise; unsparing generosity; his unstinted devotion; called for unstinting aid to Britain,1
99,4079,used of automobiles; completely demolished; the insurance adjuster declared the automobile totaled,0
100,4361,greatest in status or authority or power; a supreme tribunal,1
101,10978,tending to set free,0
102,773,without a weapon,0
103,100,not accommodating; the unaccommodating bus driver pulled out while she was banging on the door,0
104,106500,make dizzy or giddy; a dizzying pace,1
105,109709,make fat or plump; We will plump out that poor starving child,0
106,104240,injure by trampling or as if by trampling; The passerby was trampled by an elephant,0
107,116144,express a choice or opinion; I vote that we all go home; She voted for going to the Chinese restaurant,1
108,6942,relaxed and leisurely; without hurry or haste; people strolling about in an unhurried way; an unhurried walk; spoke in a calm and unhurried voice,1
109,108026,declare or judge unfit for use or habitation; The building was condemned by the inspector,1
110,105033,make large; blow up an image,0
111,103975,awaken once again,0
112,11668,marked by or tending to arouse sexual desire or interest; feeling sexy; sexy clothes; sexy poses; a sexy book; sexy jokes,1
113,13819,having the lower score or lagging position in a contest; behind by two points; the 8th inning found the home team trailing,1
114,114189,deviate erratically from a set course; the yawing motion of the ship,0
115,115845,name again or anew; He was renamed Minister of the Interior,1
116,2680,serving to explode or characterized by explosion or sudden outburst; an explosive device; explosive gas; explosive force; explosive violence; an explosive temper,0
117,116556,take charge of or deal with; Could you see about lunch?; I must attend to this matter; She took care of this business,1
118,4994,"irregular or uneven in quality, texture, etc.; a patchy essay; patchy fog",0
119,117373,split or divide into two,0
120,17079,relating to or characteristic of art or artists; his artistic background,1
121,6954,not possible to classify,1
122,108845,cause to be directed or transmitted to another place; send me your latest results; I'll mail you the paper when it's written,0
123,2947,not caught or not caught within bounds; an uncompleted pass,1
124,606,roused to anger; stayed huffy a good while- Mark Twain; she gets mad when you wake her up so early; mad at his friend; sore over a remark,1
125,115588,leave as a guarantee in return for money; pawn your grandfather's gold watch,1
126,116512,accept as a charge,1
127,10135,subjected to a special process or treatment; prepared ergot; processed cheeses are easy to spread,0
128,105778,convert to Christianity; The missionaries evangelized the Pacific Islanders,0
129,9958,not carefully reworked or perfected or made smooth by polishing; dull unpolished shoes,0
130,12378,of leaves; appearing puckered as if blistered,0
131,8648,existing or extending beyond the physical world; whatever of transmundane...insight...we may carry- William James,1
132,6669,used of buildings of many stories equipped with elevators; tall; avenues lined with high-rise apartment buildings,0
133,10555,not random,1
134,115080,sell; deal hashish,0
135,109152,assign to a station,0
136,104153,fertilize and cause to grow; the egg was impregnated,0
137,8325,(used of military forces) designed for military operations abroad; the French expeditionary force in Indochina,0
138,4163,beneath your dignity; considered helping with the dishes to be infra dig,1
139,106976,be confusing or perplexing to; cause to be unable to think clearly; These questions confuse even the experts; This question completely threw me; This question befuddled even the teacher,1
140,6291,feeling no regret; was completely unregretful about what had happened,1
141,11528,of an instrument or device; capable of registering minute differences or changes precisely; almost undetectable with even the most delicate instruments,0
142,8240,suitable for or suggestive of singing,0
143,18143,formed into a mass by heat and pressure,0
144,4167,befitting a president; criticized the candidate for not looking presidential,0
145,7690,resembling or similar; having the same or some of the same characteristics; often used in combination; suits of like design; a limited circle of like minds; members of the cat family have like dispositions; as like as two peas in a pod; doglike devotion; a dreamlike quality,1
146,6070,unique or specific to a person or thing or category; the particular demands of the job; has a particular preference for Chinese art; a peculiar bond of sympathy between them; an expression peculiar to Canadians; rights peculiar to the rich; the special features of a computer; my own special chair,0
147,114254,perform a special church rite or service for; church a woman after childbirth,0
148,10091,foolish; totally unsound; a crazy scheme; half-baked ideas; a screwball proposal without a prayer of working,1
149,5536,serving as a base or starting point; a basic course in Russian; basic training for raw recruits; a set of basic tools; an introductory art course,1
150,110668,wear away by rubbing; The friction frayed the sleeve,0
151,12824,having turns or windings; the flexuous bed of the stream,0
152,115159,grant a pension to,0
153,6217,annoyed and irritable,1
154,105730,become or cause to become soft or liquid; The sun melted the ice; the ice thawed; the ice cream melted; The heat melted the wax; The giant iceberg dissolved over the years during the global warming phase; dethaw the meat,0
155,114969,be transferred to another owner; This restaurant changed hands twice last year,0
156,114296,"shift the position or location of, as for business, legal, educational, or military purposes; He removed his children to the countryside; Remove the troops to the forest surrounding the city; remove a case to another court",1
157,9555,inspired by love for your country,1
158,105638,cause to grow or sprout; the plentiful rain germinated my plants,0
159,112689,be in an agitated emotional state; The customer was seething with anger,1
160,114920,obtain through effort or management; She found the time and energy to take care of her aging parents; We found the money to send our sons to college,1
161,116688,"lure, entice, or entrap with bait",1
162,108775,enter a demurrer,1
163,107766,have recourse to or make an appeal or request for help or information to; She called on her Representative to help her; She turned to her relatives for help,1
164,112978,envy without restraint,1
165,112818,"experience (emotional) pain; Every time her husband gets drunk, she suffers",1
166,112916,discharge bad feelings or tension through verbalization,1
167,2864,capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction,1
168,18087,of or relating to the language or culture of the Zapotec people,0
169,107605,"make a humble, earnest petition; supplicate for permission",1
170,3850,coming only to the ankle or knee,0
171,11583,making impure by contact or mixing,1
172,106483,come out suddenly or forcefully; you stick a bill in the vending machine and the change pops out,0
173,104342,sprain or dislocate slightly; subluxate the hip,0
174,6723,showing utter resignation or hopelessness; abject surrender,1
175,116285,"marry a woman, take a wife",1
176,115203,live off somebody's generosity; This young man refuses to work and is freeloading,1
177,106245,come or bring to a finish or an end; He finished the dishes; She completed the requirements for her Master's Degree; The fastest runner finished the race in just over 2 hours; others finished in over 4 hours,1
178,111178,place on top of; can you superimpose the two images?,0
179,108587,advertize noisily or blatantly,1
180,4415,resembling a fang,0
181,115046,get (a product) from another country or business; She sourced a supply of carpet; They are sourcing from smaller companies,0
182,110549,secure or lock with a hasp,0
183,1562,shining intensely; the blazing sun; blinding headlights; dazzling snow; fulgent patterns of sunlight; the glaring sun,0
184,12855,used of syllables; an atonic syllable carries no stress,0
185,9461,not composed of distinct particles,1
186,12684,"(chemistry, physics, biology) resistant to change",0
187,108030,express pleasure verbally; She crowed with joy,1
188,15303,being or relating to or containing the essence of a plant etc; essential oil,0
189,16303,of or relating to gustation,0
190,7587,half the usual or regular size,0
191,6635,lowered in value; the dollar is low; a debased currency,1
192,105469,"cook with dry heat, usually in an oven; roast the turkey",0
193,12449,being without an escort,1
194,4934,basic and fundamental; the essential feature,1
195,17190,of or relating to sarcosomes,0
196,110436,"kill en masse; kill on a large scale; kill many; Hitler wanted to exterminate the Jews, Gypsies, Communists, and homosexuals of Europe",1
197,2451,almost complete transparent to X-rays or other forms of radiation; radiolucent tissues,0
198,4080,laid waste by war,0
199,1959,being in the original position; not having been moved; the archeologists could date the vase because it was in-situ; an in-situ investigator,1
200,6836,glowing red with heat,0
201,9916,having received what was desired,1
202,8593,made to appear to move as living creatures do; an animated cartoon; animated puppets,0
203,109840,close or secure with or as if with a stopper; She stoppered the wine bottle; The mothers stoppered their babies' mouths with pacifiers,1
204,107491,"arrange thoughts, ideas, temporal events; arrange my schedule; set up one's life; I put these memories with those of bygone times",1
205,107926,introduce an idea or attitude into the mind of; My teachers inoculated me with their beliefs,1
206,114585,recover through digging; Schliemann excavated Troy; excavate gold,0
207,493,cannot be bought or sold,1
208,111230,"capture or kill, as in hunting; bag a few pheasants",1
209,11686,characterized by sexuality; highly sexed,1
210,3201,not priestly; unbefitting a priest; unpriestly behavior,1
211,112799,cause to feel embarrassment; The constant attention of the young man confused her,1
212,6501,large and powerful; especially designed for heavy loads or rough work; a heavy truck; heavy machinery,1
213,114245,extend in one or more directions; The dough expands,1
214,13670,lacking tucks or not being tucked; the sheet came untucked; plain untucked shirt front,0
215,112767,cause to lose one's nerve; an unmanning experience,1
216,6554,consisting of elements that are not of the same kind or nature; the population of the United States is vast and heterogeneous,1
217,106919,be unable to remember; I'm drawing a blank; You are blocking the name of your first wife!,1
218,3017,occurring close together in bunches or clusters,0
219,4240,similar in nature or effect or relation to another quantity; a term is in direct proportion to another term if it increases (or decreases) as the other increases (or decreases),1
220,5322,relating to a recently developed fashion or style; their offices are in a modern skyscraper; tables in modernistic designs;,0
221,7649,involving or being or having the nature of a crime; a criminal offense; criminal abuse; felonious intent,1
222,3617,not in a state of crisis or emergency,1
223,13836,"of or located in the lower part of a town, or in the business center; downtown Manhattan; delinquents roaming the downtown streets",0
224,109801,seize suddenly,0
225,115730,act as a partner; Astaire partnered Rogers,1
226,114130,move towards; We were approaching our destination; They are drawing near; The enemy army came nearer and nearer,0
227,5487,incapable of reproducing; an infertile couple,1
228,117021,have a long or continuing effect; The discussions with my teacher reverberated throughout my adult life,1
229,105546,break up into small pieces for food preparation; bruise the berries with a wooden spoon and strain them,0
230,7308,reaching a higher intensity; their heightening fears,1
231,112404,move in a pattern; usually to musical accompaniment; do or perform a dance; My husband and I like to dance at home to the radio,0
232,110578,make tight; secure against leakage; seal the windows,0
233,104007,"become tense, nervous, or uneasy; He tensed up when he saw his opponent enter the room",1
234,10388,lacking proof or substantiation,1
235,114996,turn away from; give up; I am foreswearing women forever,1
236,111402,propel in a high arc; lob the tennis ball,0
237,13147,having a symmetrical arrangement of radiating parts about a central point,0
238,112601,make by scraping; They scraped a letter into the stone,0
239,7616,leaking in drops; a drippy faucet,0
240,110744,"gather clams, by digging in the sand by the ocean",0
241,111839,make the opening shot that scatters the balls,0
242,114070,"move through a space, circuit or system, returning to the starting point; Blood circulates in my veins; The air here does not circulate",0
243,113629,"sit and travel on the back of animal, usually while controlling its motions; She never sat a horse!; Did you ever ride a camel?; The girl liked to drive the young mare",0
244,10290,having a projecting lower jaw,0
245,14065,growing by taking over and incorporating adjacent territories; the Russian Empire was a typical incorporative state,0
246,110883,"propel, Carry the ball; dribble the ball",0
247,113513,ride a motorcycle,0
248,13280,having the taste of wine; a rich winy taste,0
